dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,332.898739,4605.116150,170.637716,273.193550,217.917679,0.861572,0.039872
0.020000,338.445223,4605.341065,176.188759,277.552121,217.928511,0.541577,0.041186
0.020000,344.078501,4605.576972,181.826975,281.910780,217.932975,0.223205,0.042521
0.020000,349.798548,4605.824225,187.552363,286.269402,217.931105,-0.093488,0.043877
0.020000,355.605419,4606.083183,193.365005,290.632145,218.137143,10.301899,0.045254
0.020000,361.499358,4606.354223,199.265173,295.008364,218.810960,33.690878,0.046653
0.020000,367.480008,4606.637700,205.252537,299.368230,217.993285,-40.883781,0.048074
0.020000,373.547329,4606.933986,211.327088,303.727535,217.965249,-1.401772,0.049515
0.020000,379.701275,4607.243462,217.488811,308.086156,217.931059,-1.709494,0.050978
0.020000,385.942026,4607.566524,223.737919,312.455383,218.461333,26.513669,0.052463
0.020000,392.269734,4607.903575,230.074597,316.833895,218.925594,23.213068,0.053968
0.020000,398.683949,4608.254989,236.498431,321.191717,217.891103,-51.724568,0.055496
0.020000,405.184611,4608.621167,243.009398,325.548347,217.831495,-2.980387,0.057044
0.020000,411.772299,4609.002555,249.608117,329.935970,219.381177,77.484092,0.058615
0.020000,418.446478,4609.399537,256.294092,334.298747,218.138844,-62.116649,0.060206
0.020000,425.206935,4609.812524,263.067152,338.652969,217.711103,-21.387056,0.061819
0.020000,432.054397,4610.241988,269.928068,343.045831,219.643109,96.600319,0.063454
0.020000,438.988114,4610.688317,276.876135,347.403342,217.875557,-88.377610,0.065110
0.020000,446.008232,4611.151961,283.911547,351.770615,218.363611,24.402706,0.066788
0.020000,453.115015,4611.633381,291.034618,356.153531,219.145824,39.110652,0.068487
0.020000,460.307763,4612.132984,298.244696,360.503876,217.517235,-81.429452,0.070208
0.020000,467.587380,4612.651289,305.542742,364.902295,219.920931,120.184782,0.071951
0.020000,474.952750,4613.188679,312.927689,369.247398,217.255182,-133.287445,0.073715
0.020000,482.404864,4613.745697,320.400592,373.645109,219.885519,131.516854,0.075500
0.020000,489.942608,4614.322735,327.960390,377.989935,217.241335,-132.209221,0.077308
0.020000,497.567032,4614.920352,335.608201,382.390507,220.028595,139.363039,0.079137
0.020000,505.277045,4615.538951,343.342989,386.739448,217.447040,-129.077791,0.080987
0.020000,513.073367,4616.179081,351.165546,391.127848,219.419982,98.647143,0.082859
0.020000,520.955438,4616.841194,359.075379,395.491611,218.188168,-61.590700,0.084753
0.020000,528.923258,4617.525794,367.072555,399.858806,218.359741,8.578625,0.086668
0.020000,536.977128,4618.233416,375.157451,404.244820,219.300721,47.048995,0.088605
0.020000,545.116403,4618.964519,383.329496,408.602239,217.870964,-71.487851,0.090563
0.020000,553.341367,4619.719649,391.589051,412.977769,218.776465,45.275040,0.092543
0.020000,561.652003,4620.499331,399.936181,417.356466,218.934840,7.918778,0.094544
0.020000,570.047866,4621.304055,408.370521,421.716998,218.026633,-45.410360,0.096567
0.020000,578.528933,4622.134356,416.892134,426.080679,218.184027,7.869696,0.098612
0.020000,587.095603,4622.990817,425.501511,430.468824,219.407259,61.161598,0.100678
0.020000,595.747260,4623.873926,434.198122,434.830585,218.088071,-65.959414,0.102765
0.020000,604.483827,4624.784229,442.981985,439.193144,218.127940,1.993483,0.104874
0.020000,613.305217,4625.722276,451.853111,443.556265,218.156026,1.404297,0.107005
0.020000,622.211512,4626.688641,460.811679,447.928407,218.607099,22.553628,0.109157
0.020000,631.202578,4627.683882,469.857660,452.299085,218.533913,-3.659295,0.111330
0.020000,640.278123,4628.708542,478.990866,456.660280,218.059759,-23.707690,0.113525
0.020000,649.438032,4629.763189,488.211289,461.021157,218.043853,-0.795276,0.115741
0.020000,658.682181,4630.848397,497.518919,465.381488,218.016531,-1.366146,0.117978
0.020000,668.010441,4631.964741,506.913740,469.741045,217.977871,-1.932981,0.120236
0.020000,677.422674,4633.112803,516.395732,474.099604,217.927958,-2.495640,0.122516
0.020000,686.918734,4634.293167,525.964871,478.456942,217.866878,-3.053987,0.124816
0.020000,696.498468,4635.506422,535.621127,482.812836,217.794721,-3.607886,0.127138
0.020000,706.161715,4636.753160,545.364469,487.167068,217.711577,-4.157201,0.129481
0.020000,715.908307,4638.033978,555.194857,491.519419,217.617541,-4.701801,0.131845
0.020000,725.738066,4639.349474,565.112251,495.869673,217.512709,-5.241557,0.134230
0.020000,735.650808,4640.700252,575.116603,500.217616,217.397183,-5.776338,0.136636
0.020000,745.646342,4642.086918,585.207864,504.563038,217.271062,-6.306020,0.139062
0.020000,755.724468,4643.510082,595.385978,508.905727,217.134453,-6.830477,0.141509
0.020000,765.884978,4644.970355,605.650888,513.245476,216.987461,-7.349589,0.143977
0.020000,776.127658,4646.468354,616.002529,517.582080,216.830196,-7.863234,0.146465
0.020000,786.452284,4648.004696,626.440836,521.915335,216.662770,-8.371297,0.148974
0.020000,796.858717,4649.580016,636.965829,526.249672,216.716811,2.702006,0.151503
0.020000,807.346862,4651.194961,647.577579,530.587484,216.890600,8.689466,0.154053
0.020000,817.916265,4652.850124,658.275796,534.910833,216.167461,-36.156953,0.156623
0.020000,828.566671,4654.546134,669.060396,539.229996,215.958180,-10.464058,0.159213
0.020000,839.297817,4656.283622,679.931291,543.544783,215.739340,-10.941995,0.161823
0.020000,850.109783,4658.063276,690.888745,547.872657,216.393701,32.718068,0.164452
0.020000,861.002057,4659.885693,701.932423,552.183912,215.562732,-41.548473,0.167102
0.020000,871.974260,4661.751495,713.062134,556.485538,215.081286,-24.072266,0.169771
0.020000,883.026334,4663.661359,724.278011,560.793875,215.416863,16.778817,0.172460
0.020000,894.158046,4665.615937,735.580019,565.100413,215.326909,-4.497666,0.175169
0.020000,905.368803,4667.615820,746.967759,569.386964,214.327561,-49.967434,0.177896
0.020000,916.658683,4669.661720,758.441516,573.687855,215.044550,35.849493,0.180643
0.020000,928.027175,4671.754247,770.000983,577.973366,214.275559,-38.449589,0.183409
0.020000,939.473910,4673.894038,781.646000,582.250872,213.875287,-20.013597,0.186194
0.020000,950.998883,4676.081801,793.376786,586.539265,214.419630,27.217186,0.188998
0.020000,962.601311,4678.318097,805.192764,590.798937,212.983631,-71.799961,0.191820
0.020000,974.281443,4680.603689,817.094420,595.082773,214.191798,60.408343,0.194660
0.020000,986.038324,4682.939107,829.081014,599.329714,212.347051,-92.237336,0.197519
0.020000,997.872221,4685.325122,841.153056,603.602065,213.617543,63.524569,0.200396
0.020000,1009.782239,4687.762277,853.309874,607.840933,211.943381,-83.708094,0.203291
0.020000,1021.768440,4690.251306,865.551782,612.095374,212.722077,38.934787,0.206204
0.020000,1033.830199,4692.792808,877.878389,616.330391,211.750849,-48.561375,0.209135
0.020000,1045.967179,4695.387437,890.289609,620.560997,211.530307,-11.027119,0.212082
0.020000,1058.179210,4698.035888,902.785529,624.795960,211.748109,10.890113,0.215047
0.020000,1070.465587,4700.738740,915.365690,629.008061,210.605046,-57.153171,0.218029
0.020000,1082.826137,4703.496686,928.030186,633.224816,210.837772,11.636330,0.221028
0.020000,1095.260472,4706.310375,940.778893,637.435340,210.526210,-15.578106,0.224044
0.020000,1107.768000,4709.180408,953.611482,641.629472,209.706568,-40.982083,0.227075
0.020000,1120.348352,4712.107436,966.527858,645.818767,209.464792,-12.088835,0.230123
0.020000,1133.001358,4715.092158,979.528132,650.013727,209.747962,14.158502,0.233187
0.020000,1145.726319,4718.135147,992.611878,654.187302,208.678752,-53.460468,0.236267
0.020000,1158.522814,4721.237039,1005.778959,658.354018,208.335815,-17.146855,0.239362
0.020000,1171.390411,4724.398469,1019.029230,662.513565,207.977368,-17.922379,0.242472
0.020000,1184.328724,4727.620081,1032.362599,666.668446,207.744022,-11.667277,0.245597
0.020000,1197.337341,4730.902511,1045.778950,670.817548,207.455131,-14.444542,0.248738
0.020000,1210.415684,4734.246352,1059.277999,674.952442,206.744677,-35.522692,0.251892
0.020000,1223.563284,4737.652222,1072.859580,679.079060,206.330917,-20.688015,0.255061
0.020000,1236.779666,4741.120735,1086.523522,683.197126,205.903296,-21.381044,0.258243
0.020000,1250.064343,4744.652499,1100.269650,687.306369,205.462163,-22.056668,0.261440
0.020000,1263.416823,4748.248120,1114.097780,691.406527,205.007868,-22.714744,0.264650
0.020000,1276.836602,4751.908195,1128.007727,695.497342,204.540765,-23.355138,0.267872
0.020000,1290.323170,4755.633319,1141.999299,699.578566,204.061211,-23.977734,0.271108
0.020000,1303.876009,4759.424080,1156.072298,703.649958,203.569562,-24.582429,0.274356
0.020000,1317.494592,4763.281058,1170.226523,707.711281,203.066179,-25.169135,0.277617
0.020000,1331.178387,4767.204831,1184.461770,711.762310,202.551424,-25.737779,0.280889
0.020000,1344.926852,4771.195969,1198.777826,715.802823,202.025658,-26.288300,0.284173
0.020000,1358.739440,4775.255034,1213.174478,719.832608,201.489245,-26.820654,0.287468
0.020000,1372.615596,4779.382583,1227.651507,723.851459,200.942548,-27.334812,0.290774
0.020000,1386.554760,4783.579166,1242.208691,727.859177,200.385933,-27.830758,0.294091
0.020000,1400.556395,4787.845336,1256.845835,731.857207,199.901500,-24.221689,0.297417
0.020000,1414.619990,4792.181645,1271.562773,735.846907,199.484963,-20.826805,0.300754
0.020000,1428.744880,4796.588597,1286.359183,739.820497,198.679536,-40.271370,0.304101
0.020000,1442.930481,4801.066711,1301.234827,743.782184,198.084314,-29.761088,0.307457
0.020000,1457.176202,4805.616499,1316.189463,747.731805,197.481046,-30.163422,0.310821
0.020000,1471.481531,4810.238493,1331.222935,751.673609,197.090220,-19.541274,0.314195
0.020000,1485.845868,4814.933187,1346.334994,755.602933,196.466185,-31.201778,0.317576
0.020000,1500.268528,4819.701044,1361.525305,759.515591,195.632935,-41.662491,0.320965
0.020000,1514.748920,4824.542546,1376.793636,763.416520,195.046421,-29.325713,0.324362
0.020000,1529.286580,4829.458216,1392.139885,767.312444,194.796188,-12.511637,0.327765
0.020000,1543.880724,4834.448456,1407.563618,771.186670,193.711314,-54.243701,0.331176
0.020000,1558.530789,4839.513737,1423.064633,775.050752,193.204093,-25.361041,0.334592
0.020000,1573.236233,4844.654531,1438.642754,778.906047,192.764759,-21.966701,0.338015
0.020000,1587.996290,4849.871220,1454.297566,782.740592,191.727247,-51.875628,0.341443
0.020000,1602.810498,4855.164288,1470.028977,786.570556,191.498230,-11.450809,0.344876
0.020000,1617.678087,4860.534097,1485.836572,790.379768,190.460588,-51.882097,0.348314
0.020000,1632.598520,4865.981085,1501.720180,794.180369,190.030038,-21.527512,0.351756
0.020000,1647.571102,4871.505624,1517.679464,797.964213,189.192187,-41.892547,0.355202
0.020000,1662.595246,4877.108115,1533.714202,801.736893,188.634001,-27.909313,0.358651
0.020000,1677.670263,4882.788909,1549.824061,805.492934,187.802042,-41.597944,0.362104
0.020000,1692.795582,4888.548396,1566.008836,809.238771,187.291897,-25.507248,0.365559
0.020000,1707.970460,4894.386885,1582.268138,812.965080,186.315423,-48.823695,0.369016
0.020000,1723.194397,4900.304771,1598.601834,816.684813,185.986646,-16.438863,0.372475
0.020000,1738.466620,4906.302332,1615.009501,820.383353,184.926994,-52.982620,0.375935
0.020000,1753.786542,4912.379906,1631.490912,824.070569,184.360831,-28.308106,0.379397
0.020000,1769.153536,4918.537803,1648.045797,827.744229,183.682985,-33.892325,0.382859
0.020000,1784.566906,4924.776298,1664.673809,831.400586,182.817844,-43.257038,0.386320
0.020000,1800.026045,4931.095686,1681.374696,835.044394,182.190383,-31.373039,0.389782
0.020000,1815.530323,4937.496242,1698.148180,838.674187,181.489669,-35.035701,0.393242
0.020000,1831.079060,4943.978208,1714.993924,842.287193,180.650280,-41.969466,0.396702
0.020000,1846.671619,4950.541832,1731.911639,845.885753,179.928044,-36.111816,0.400159
0.020000,1862.307392,4957.187361,1748.901061,849.471070,179.265824,-33.111006,0.403615
0.020000,1877.985725,4963.915009,1765.961875,853.040713,178.482156,-39.183358,0.407067
0.020000,1893.705971,4970.724981,1783.093770,856.594751,177.701896,-39.013009,0.410517
0.020000,1909.467497,4977.617474,1800.296449,860.133964,176.960632,-37.063231,0.413963
0.020000,1925.269675,4984.592675,1817.569614,863.658268,176.215233,-37.269954,0.417405
0.020000,1941.111877,4991.650754,1834.912966,867.167593,175.466237,-37.449772,0.420843
0.020000,1956.993486,4998.791877,1852.326213,870.662331,174.736893,-36.467233,0.424275
0.020000,1972.913870,5006.016186,1869.809041,874.141389,173.952883,-39.200466,0.427703
0.020000,1988.872409,5013.323813,1887.361146,877.605250,173.193084,-37.989973,0.431124
0.020000,2004.868489,5020.714882,1904.982226,881.053990,172.437003,-37.804045,0.434540
0.020000,2020.901497,5028.189502,1922.671977,884.487585,171.679714,-37.864437,0.437948
0.020000,2036.970830,5035.747770,1940.430098,887.906018,170.921671,-37.902171,0.441349
0.020000,2053.075883,5043.389769,1958.256283,891.309284,170.163311,-37.918008,0.444743
0.020000,2069.216061,5051.115571,1976.150231,894.697385,169.405056,-37.912721,0.448129
